Symbol,Name,Market Cap,Sector
ASTRAL.NS,Astral Limited,340360560640.0,Industrials
ASTRAMICRO.NS,Astra Microwave Products Limited,83409182720.0,Technology
ASTRAZEN.NS,AstraZeneca Pharma India Limited,200374992896.0,Healthcare
ASTRON.NS,Astron Paper & Board Mill Limited,757911104.0,Basic Materials
ATALREAL.NS,Atal Realtech Limited,1501947264.0,Industrials
ATAM.NS,Atam Valves Limited,1073721856.0,Industrials
ATGL.NS,Adani Total Gas Limited,649327869952.0,Utilities
ATHERENERG.NS,Ather Energy Limited,111067578368.0,
ATL.NS,Allcargo Terminals Limited,5999027712.0,Industrials
ATLANTAA.NS,Atlantaa Limited,2757959936.0,Industrials
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,526811040.0,Consumer Cyclical
ATUL.NS,Atul Ltd,199144341504.0,Basic Materials
ATULAUTO.NS,Atul Auto Limited,12419895296.0,Consumer Cyclical
AUBANK.NS,AU Small Finance Bank Limited,509051994112.0,Financial Services
AURIONPRO.NS,Aurionpro Solutions Limited,73479962624.0,Technology
AUROPHARMA.NS,Aurobindo Pharma Limited,665366757376.0,Healthcare
AURUM.NS,Aurum PropTech Limited,10984089600.0,Real Estate
AUSOMENT.NS,AuSom Enterprise Limited,1108279808.0,Financial Services
AUTOAXLES.NS,Automotive Axles Limited,25539280896.0,Consumer Cyclical
AUTOIND.NS,Autoline Industries Limited,3187544064.0,Consumer Cyclical
AVADHSUGAR.NS,Avadh Sugar & Energy Limited,10367349760.0,Consumer Defensive
AVALON.NS,Avalon Technologies Limited,51831316480.0,Technology
AVANTEL.NS,Avantel Limited,27286003712.0,Technology
AVANTIFEED.NS,Avanti Feeds Limited,116919508992.0,Consumer Defensive
AVG.NS,AVG Logistics Limited,3463270912.0,Industrials
AVL.NS,Aditya Vision Limited,51894734848.0,Consumer Cyclical
AVONMORE.NS,Avonmore Capital & Management Services Limited,5412308480.0,Financial Services
AVROIND.NS,Avro India Limited,2021674752.0,Consumer Cyclical
AVTNPL.NS,AVT Natural Products Limited,9336531968.0,Basic Materials
AWFIS.NS,,42010034176.0,Industrials
AWHCL.NS,Antony Waste Handling Cell Limited,14388096000.0,Industrials
AWL.NS,AWL Agri Business Limited,321874231296.0,Consumer Defensive
AXISBANK.NS,Axis Bank Limited,3591453540352.0,Financial Services
AXISCADES.NS,AXISCADES Technologies Limited,33312948224.0,Industrials
AXITA.NS,Axita Cotton Limited,3310801920.0,Consumer Cyclical
AYMSYNTEX.NS,AYM Syntex Limited,12303333376.0,Consumer Cyclical
AZAD.NS,,103789248512.0,Industrials
BAFNAPH.NS,Bafna Pharmaceuticals Limited,1703253632.0,Healthcare
BAGFILMS.NS,B.A.G. Films and Media Limited,1153861888.0,Communication Services
BAIDFIN.NS,Baid Finserv Limited,1228232960.0,Financial Services
BAJAJ-AUTO.NS,Bajaj Auto Limited,2155913019392.0,Consumer Cyclical
BAJAJCON.NS,Bajaj Consumer Care Limited,22266998784.0,Consumer Defensive
BAJAJELEC.NS,Bajaj Electricals Limited,60894810112.0,Consumer Cyclical
BAJAJFINSV.NS,Bajaj Finserv Ltd.,3138940305408.0,Financial Services
BAJAJHCARE.NS,Bajaj HealthCare Limited,16391732224.0,Healthcare
BAJAJHFL.NS,,972382863360.0,Financial Services
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,23585474560.0,Consumer Defensive
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,1266525667328.0,Financial Services
BAJAJINDEF.NS,,6614742528.0,Industrials
BAJEL.NS,Bajel Projects Limited,18936107008.0,Utilities
BAJFINANCE.NS,Bajaj Finance Limited,5365988589568.0,Financial Services
BALAJEE.NS,,3536098304.0,Consumer Cyclical
BALAJITELE.NS,Balaji Telefilms Limited,7928751104.0,Communication Services
BALAMINES.NS,Balaji Amines Limited,39979593728.0,Basic Materials
BALAXI.NS,Balaxi Pharmaceuticals Limited,2655272704.0,Healthcare
BALKRISHNA.NS,Balkrishna Paper Mills Limited,573120960.0,Consumer Cyclical
BALKRISIND.NS,Balkrishna Industries Limited,530075189248.0,Consumer Cyclical
BALMLAWRIE.NS,Balmer Lawrie & Co. Ltd.,33783549952.0,Industrials
BALPHARMA.NS,Bal Pharma Limited,1520442624.0,Healthcare
BALRAMCHIN.NS,Balrampur Chini Mills Limited,106311491584.0,Consumer Defensive
BALUFORGE.NS,Balu Forge Industries Limited,57272950784.0,Industrials
BANARBEADS.NS,Banaras Beads Limited,759809152.0,Consumer Cyclical
BANARISUG.NS,Bannari Amman Sugars Limited,51053518848.0,Consumer Defensive
BANCOINDIA.NS,Banco Products (India) Limited,51790635008.0,Consumer Cyclical
BANDHANBNK.NS,Bandhan Bank Limited,252793389056.0,Financial Services
BANG.NS,Bang Overseas Limited,650880000.0,Consumer Cyclical
